Score,Finale,Milieu de jeu,Ouverture,Calcul,Finales théoriques,Stratégie,Tactique,Menace,Attaque,Contre-attaque,Défense,Sacriﬁce
True,True,False,False,False,True,False,False,False,True,False,False,False
True,False,True,False,False,False,True,False,False,False,True,False,True
True,False,True,False,False,False,False,True,True,False,False,True,False
True,True,False,False,False,True,False,False,False,False,False,True,False
True,True,False,False,False,True,False,False,True,False,False,True,False
True,False,False,True,False,False,False,True,True,False,False,True,False
True,False,False,True,False,False,False,True,True,False,False,True,False
True,False,False,True,False,False,True,False,False,True,False,False,False
True,False,True,False,False,False,False,True,False,True,False,False,True
True,True,False,False,False,False,False,True,True,False,True,False,False
True,False,True,False,True,False,False,False,False,False,True,False,True
True,True,False,False,False,False,False,True,False,True,False,False,True
True,True,False,False,False,False,False,True,True,False,False,True,True
True,True,False,False,True,False,False,False,False,True,False,False,False
True,True,False,False,False,False,True,False,False,True,False,False,False
True,False,True,False,True,False,False,False,False,True,False,False,True
True,False,True,False,False,False,False,True,False,True,False,False,True
True,True,False,False,False,True,False,False,True,False,False,True,False
True,True,False,False,False,False,True,False,False,True,False,False,False
True,True,False,False,False,False,False,True,False,True,False,False,True
True,False,True,False,True,False,False,False,True,False,True,False,True
True,True,False,False,False,False,True,False,False,False,True,False,True
True,False,True,False,False,False,True,False,True,False,False,True,False
True,False,True,False,False,False,False,True,True,False,False,True,False
True,False,True,False,True,False,False,False,True,False,True,False,False
True,True,False,False,False,False,False,True,True,False,False,True,True
True,False,True,False,False,False,False,True,False,True,False,False,True
True,False,True,False,False,False,True,False,True,False,False,True,False
True,False,True,False,False,False,False,True,False,True,False,False,True
True,False,True,False,False,False,False,True,False,True,False,False,True
True,True,False,False,False,False,True,False,False,True,False,False,True
True,False,True,False,True,False,False,False,False,True,False,False,True
True,False,True,False,False,False,False,True,True,True,False,False,True
True,False,True,False,False,False,True,False,False,True,False,False,True
True,True,False,False,False,False,True,False,False,False,True,False,False
True,False,True,False,False,False,True,False,False,True,False,False,False
True,True,False,False,False,True,False,False,False,False,False,True,False
True,True,False,False,False,False,True,False,False,False,False,True,False
True,True,False,False,False,True,False,False,True,False,False,True,False
True,False,True,False,False,False,False,True,True,False,True,False,True
True,True,False,False,False,False,False,True,True,False,True,False,True
True,True,False,False,True,False,False,False,False,False,False,True,False
True,True,False,False,False,False,True,False,True,False,False,True,False
True,False,False,True,False,False,True,False,False,False,False,True,False
True,True,False,False,False,True,False,False,True,False,False,True,True
True,True,False,False,False,False,True,False,False,False,False,True,True
True,True,False,False,False,False,False,True,False,False,False,True,False
True,True,False,False,False,False,True,False,False,True,False,False,True
True,False,True,False,True,False,False,False,False,True,False,False,True
True,True,False,False,False,False,True,False,False,False,False,True,False
True,False,True,False,False,False,True,False,False,True,False,False,False
True,False,True,False,False,False,False,True,False,True,False,False,True
True,True,False,False,False,False,True,False,True,True,False,False,False
True,False,True,False,False,False,False,True,True,False,True,False,True
True,False,True,False,False,False,True,False,True,True,False,False,False
True,True,False,False,False,False,True,False,True,False,False,True,False
True,False,True,False,False,False,True,False,False,True,False,False,False
True,True,False,False,False,False,False,True,True,False,False,True,False
True,True,False,False,True,False,False,False,True,False,True,False,True
True,True,False,False,False,False,True,False,False,False,False,True,False
True,True,False,False,False,False,True,False,False,True,False,False,False
True,True,False,False,True,False,False,False,True,False,False,True,False
True,True,False,False,False,False,True,False,False,False,False,True,False
True,True,False,False,False,False,True,False,False,True,False,False,False
True,False,True,False,False,False,True,False,False,True,False,False,False
True,False,True,False,False,False,True,False,False,True,False,False,False
True,True,False,False,False,False,True,False,False,True,False,False,False
True,True,False,False,False,True,False,False,False,True,False,False,False
True,True,False,False,True,False,False,False,True,False,False,True,True
True,False,True,False,False,False,False,True,False,True,False,False,True
True,False,True,False,True,False,False,False,True,False,False,True,True
True,False,True,False,False,False,True,False,False,True,False,False,False
True,False,True,False,True,False,False,False,False,True,False,False,True
True,False,True,False,False,False,True,False,True,False,False,True,False
True,False,True,False,False,False,True,False,False,True,False,False,False
True,False,True,False,False,False,True,False,False,True,False,False,False
True,False,True,False,False,False,False,True,True,True,False,False,True
True,False,True,False,False,False,False,True,True,True,False,False,True
True,True,False,False,True,False,False,False,True,True,False,False,False
True,True,False,False,False,False,False,True,False,False,True,False,True
True,True,False,False,True,False,False,False,True,True,False,False,False
True,False,True,False,False,False,False,True,True,False,True,False,True
True,False,True,False,False,False,False,True,True,False,False,True,True
True,False,True,False,False,False,False,True,True,False,True,False,True
True,False,False,True,False,False,False,True,True,False,False,True,True
True,True,False,False,False,False,False,True,True,False,False,True,True
True,False,True,False,False,False,False,True,False,True,False,False,True
True,True,False,False,False,False,False,True,True,False,True,False,True
True,True,False,False,True,False,False,False,True,False,True,False,False
True,False,False,True,True,False,False,False,True,False,True,False,False
True,False,True,False,False,False,True,False,True,False,True,False,False
True,True,False,False,False,False,True,False,True,False,False,True,True
True,True,False,False,False,True,False,False,True,False,False,True,False
True,True,False,False,False,True,False,False,True,False,False,True,True
True,True,False,False,False,True,False,False,True,False,False,True,False
True,False,True,False,False,False,False,True,True,False,False,True,True
True,False,True,False,False,False,False,True,False,True,False,False,True
True,True,False,False,False,True,False,False,True,False,False,True,True
True,False,True,False,False,False,False,True,True,False,True,False,True
True,True,False,False,False,True,False,False,True,False,False,True,True
