%,Général,Attaque,Contre-attaque,Défense,Ouverture,Milieu de jeu,Finale,Tactique,Stratégie,Calcul,Finales théoriques,Sacriﬁce,Menace
3,815,817,816,815,831,817,814,815,814,816,820,816,815
6,830,833,832,830,862,834,829,830,828,833,840,833,830
9,845,850,848,845,893,850,843,844,842,849,860,849,845
12,860,867,864,860,920,867,857,859,856,866,880,866,860
15,875,883,879,875,942,884,872,874,869,882,910,882,875
18,891,900,895,890,962,910,886,889,883,899,950,899,890
21,910,920,910,920,974,920,910,910,897,920,984,920,920
24,932,932,942,942,1000,950,920,910,974,942,984,932,920
27,962,950,1015,974,1018,974,942,942,1015,974,1018,950,932
30,984,974,1060,984,1112,984,984,950,1090,999,1042,989,950
33,1000,1000,1176,1000,1226,1038,1000,984,1157,1030,1057,1033,999
36,1060,1048,1253,1139,1305,1135,1045,1053,1189,1117,1072,1113,1081
39,1171,1102,1382,1281,1413,1210,1102,1080,1252,1179,1149,1268,1229
42,1304,1229,1469,1388,1499,1304,1304,1169,1375,1241,1244,1341,1364
45,1409,1310,1584,1475,1598,1410,1375,1374,1521,1353,1295,1463,1466
48,1506,1361,1689,1541,1690,1548,1506,1499,1712,1521,1331,1520,1592
51,1610,1482,1767,1649,1830,1623,1582,1542,1756,1683,1427,1579,1732
54,1723,1539,1858,1813,1948,1786,1651,1679,1834,1824,1525,1616,1810
57,1819,1616,1955,1878,2058,1846,1726,1711,1882,1901,1593,1729,1854
60,1882,1777,2031,1890,2155,1890,1801,1771,1967,1941,1636,1839,1933
63,1954,1882,2112,1954,2188,1987,1930,1854,2025,2011,1699,1918,2005
66,2013,1957,2171,1995,2275,2056,1969,1977,2101,2038,1726,1969,2056
69,2087,1987,2213,2066,2324,2162,2015,2055,2136,2105,1828,2056,2105
72,2144,2033,2268,2178,2342,2218,2063,2105,2178,2210,1858,2129,2150
75,2218,2117,2292,2262,2350,2252,2109,2151,2208,2260,1983,2184,2274
78,2264,2144,2338,2296,2374,2296,2117,2236,2278,2292,2037,2218,2314
81,2328,2242,2384,2358,2400,2332,2258,2310,2328,2338,2110,2284,2374
84,2362,2296,2418,2384,2408,2380,2316,2380,2362,2396,2227,2358,2396
87,2400,2310,2442,2400,2430,2408,2384,2408,2384,2418,2311,2418,2442
90,2430,2350,2464,2442,2454,2442,2430,2442,2400,2442,2380,2442,2464
93,2464,2442,2490,2478,2478,2478,2464,2464,2454,2496,2444,2464,2490
96,2496,2478,2496,2496,2496,2496,2496,2496,2496,2496,2486,2496,2496
99,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500,2500
